UserNRIC,Name,Password,Age,MaritalStatus,Role
,Alice Tan,password,30,SINGLE,APPLICANT
,David Ong,password,29,SINGLE,APPLICANT
,John Leong,password,35,DIVORCED,APPLICANT
,Sarah Chong,password,40,MARRIED,APPLICANT
,Grace Yee,password,37,MARRIED,APPLICANT
,James Lim,password,30,MARRIED,APPLICANT
,Rachel Sim,password,25,SINGLE,APPLICANT
,Michael Jackson,password,36,SINGLE,OFFICER
,Jessica Jung,password,26,MARRIED,OFFICER
,Bob Lee,password,45,MARRIED,OFFICER
,Elaine Koh,password,50,MARRIED,OFFICER
,Daniel Riccardo,password,36,SINGLE,MANAGER
,Emily Wong,password,28,SINGLE,MANAGER
,Chris Kwa,password,29,MARRIED,MANAGER
,Carol Lim,password,38,SINGLE,MANAGER
,Farah Zahra,password,40,DIVORCED,MANAGER
